K/- [0.01, 0.90, 0.07, 0.01, 0.01]
Q/- [0.01, 0.28, 0.70, 0.01, 0.01]
J/- [0.01, 0.66, 0.32, 0.01, 0.01]
J/-B [0.21, 0.00, 0.00, 0.10, 0.68]
J/-c [0.00, 0.51, 0.47, 0.00, 0.00]
Q/-B [0.44, 0.01, 0.01, 0.29, 0.25]
Q/-c [0.01, 0.22, 0.76, 0.01, 0.01]
K/-B [0.64, 0.01, 0.01, 0.27, 0.07]
K/-c [0.01, 0.74, 0.24, 0.01, 0.01]
K/-B/R [0.01, 0.00, 0.00, 0.99, 0.00]
K/-c/B [0.02, 0.01, 0.01, 0.94, 0.01]
Q/-B/R [0.22, 0.00, 0.00, 0.77, 0.00]
Q/-c/B [0.91, 0.00, 0.00, 0.08, 0.00]
J/-B/R [0.10, 0.00, 0.00, 0.89, 0.00]
J/-c/B [0.34, 0.00, 0.00, 0.65, 0.00]
K/J-B/C [0.02, 0.87, 0.07, 0.02, 0.02]
K/J-c/c [0.20, 0.20, 0.20, 0.20, 0.20]
K/Q-B/C [0.00, 0.67, 0.32, 0.00, 0.00]
K/Q-c/c [0.09, 0.44, 0.31, 0.09, 0.09]
Q/K-B/C [0.04, 0.72, 0.17, 0.04, 0.04]
Q/K-c/c [0.00, 0.93, 0.05, 0.00, 0.00]
Q/J-B/C [0.04, 0.46, 0.43, 0.04, 0.04]
Q/J-c/c [0.00, 0.00, 0.99, 0.00, 0.00]
K/K-B/C [0.02, 0.91, 0.03, 0.02, 0.02]
K/K-c/c [0.20, 0.20, 0.20, 0.20, 0.20]
J/K-B/C [0.05, 0.66, 0.19, 0.05, 0.05]
J/K-c/c [0.02, 0.47, 0.48, 0.02, 0.02]
J/Q-B/C [0.20, 0.20, 0.20, 0.20, 0.20]
J/Q-c/c [0.20, 0.20, 0.20, 0.20, 0.20]
J/J-B/C [0.00, 0.96, 0.04, 0.00, 0.00]
J/J-c/c [0.07, 0.73, 0.07, 0.07, 0.07]
Q/Q-B/C [0.08, 0.57, 0.19, 0.08, 0.08]
Q/Q-c/c [0.00, 1.00, 0.00, 0.00, 0.00]
J/-B/R/R [0.96, 0.01, 0.01, 0.01, 0.01]
J/-c/B/R [0.16, 0.00, 0.00, 0.83, 0.00]
Q/-B/R/R [0.98, 0.00, 0.00, 0.00, 0.00]
Q/-c/B/R [0.04, 0.03, 0.03, 0.86, 0.03]
K/-B/R/R [0.98, 0.01, 0.01, 0.01, 0.01]
K/-c/B/R [0.59, 0.00, 0.00, 0.39, 0.02]
J/J-B/C/B [0.04, 0.04, 0.04, 0.84, 0.04]
